Order_ID,Customer_Location,Restaurant_Location,Distance,Weather_Conditions,Traffic_Conditions,Delivery_Person_Experience,Order_Priority,Order_Time,Vehicle_Type,Restaurant_Rating,Customer_Rating,Delivery_Time,Order_Cost,Tip_Amount,Customer_Latitude,Customer_Longitude,Restaurant_Latitude,Restaurant_Longitude
ORD0001,"(17.030479, 79.743077)","(12.358515, 85.100083)",1.57,Rainy,Medium,4.0,Medium,Afternoon,Bike,4.1,3.0,26.22,1321.1,81.54,17.030479,79.743077,12.358515,85.100083
ORD0002,"(15.398319, 86.639122)","(14.174874, 77.025606)",21.32,Cloudy,Medium,8.0,Low,Night,Car,4.5,4.2,62.61,152.21,29.02,15.398319,86.639122,14.174874,77.025606
ORD0003,"(15.687342, 83.888808)","(19.594748, 82.048482)",6.95,Snowy,Medium,9.0,High,Night,Bike,3.3,3.4,48.43,1644.38,64.17,15.687342,83.888808,19.594748,82.048482
ORD0004,"(20.415599, 78.046984)","(16.915906, 78.278698)",13.79,Cloudy,Low,2.0,Medium,Evening,Bike,3.799502487562189,3.7,111.63,541.25,79.23,20.415599,78.046984,16.915906,78.278698
ORD0005,"(14.786904, 78.706532)","(15.206038, 86.203182)",6.72,Rainy,High,6.0,Low,Night,Bike,3.5,2.8,32.38,619.81,2.34,14.786904,78.706532,15.206038,86.203182
ORD0006,"(15.560205, 80.59125)","(12.478068, 78.823965)",10.0,Rainy,Medium,10.0,Medium,Evening,Bicycle,2.8,3.3,60.72,860.35,57.9,15.560205,80.59125,12.478068,78.823965
ORD0007,"(21.397639, 84.89693)","(15.934011, 86.767357)",5.15,Cloudy,Medium,5.239723193838383,High,Evening,Car,4.4,4.5,28.76,649.45,68.66,21.397639,84.89693,15.934011,86.767357
ORD0008,"(12.512731, 86.268971)","(12.019922, 78.4686)",22.57,Snowy,Medium,7.0,Low,Evening,Bicycle,3.2,4.3,57.28,314.27,1.24,12.512731,86.268971,12.019922,78.4686
ORD0009,"(18.814724, 86.95472)","(15.30437, 84.059261)",13.19,Snowy,Medium,8.0,Low,Night,Bicycle,3.2,3.0,47.22,1223.05,39.0,18.814724,86.95472,15.30437,84.059261
ORD0011,"(13.516083, 77.368398)","(21.043034, 80.024796)",18.34,Rainy,High,7.0,Low,Afternoon,Car,3.5,3.6,34.68,1026.3902162195125,31.02,13.516083,77.368398,21.043034,80.024796
ORD0012,"(21.81819, 81.305941)","(19.321344, 80.471393)",3.04,Cloudy,Low,7.0,High,Afternoon,Bike,3.5,3.4,106.88,908.48,46.47518363,21.81819,81.305941,19.321344,80.471393
ORD0013,"(15.800841, 79.0468)","(19.299898, 77.014496)",1.34,Snowy,Medium,7.0,High,Morning,Bicycle,4.0,4.7,23.12,1846.92,11.85,15.800841,79.0468,19.299898,77.014496
ORD0014,"(17.328378, 81.85932)","(21.881675, 82.349324)",0.87,Cloudy,High,1.0,Medium,Evening,Bike,3.799502487562189,4.3,55.43,822.34,52.21,17.328378,81.85932,21.881675,82.349324
ORD0015,"(12.865312, 81.430712)","(16.452125, 83.164956)",10.07,Cloudy,Low,6.0,Medium,Night,Car,4.9,3.3,29.29,393.48,54.76,12.865312,81.430712,16.452125,83.164956
ORD0017,"(21.621044, 83.330567)","(12.736908, 77.460086)",14.02,Rainy,High,1.0,Medium,Morning,Bike,4.4,4.2,17.53,494.63,23.5,21.621044,83.330567,12.736908,77.460086
ORD0018,"(13.110016, 81.85359)","(16.175275, 81.118374)",4.74,Cloudy,High,2.0,Low,Afternoon,Bike,2.5,4.6,79.64,180.42,93.69,13.110016,81.85359,16.175275,81.118374
ORD0019,"(20.445084, 79.190647)","(12.511262, 82.796889)",8.61,Cloudy,Medium,5.0,Low,Afternoon,Bike,3.799502487562189,4.6,41.29,1151.97,51.88,20.445084,79.190647,12.511262,82.796889
ORD0020,"(15.372184, 81.192175)","(13.79455, 78.669119)",13.65,Snowy,High,9.0,Low,Afternoon,Bike,2.9,4.0,105.53,1813.25,13.43,15.372184,81.192175,13.79455,78.669119
ORD0021,"(20.391596, 78.35831)","(13.595826, 87.437759)",19.26,Cloudy,Medium,10.0,Low,Morning,Bike,4.0,3.671,43.19,1378.89,99.58,20.391596,78.35831,13.595826,87.437759
ORD0022,"(20.90434, 77.535905)","(14.054784, 84.733876)",1077.9277942247131,Cloudy,Medium,7.0,High,Evening,Bike,4.3,2.8,39.7,1393.22,48.67,20.90434,77.535905,14.054784,84.733876
ORD0023,"(20.755161, 80.352103)","(17.361127, 79.954404)",7.14,Cloudy,High,5.0,Low,Morning,Bicycle,3.6,3.4,98.27,238.22,1.71,20.755161,80.352103,17.361127,79.954404
ORD0024,"(14.702472, 87.730108)","(15.846967, 78.528528)",5.58,Rainy,Low,1.0,Medium,Night,Bike,2.8,3.1,32.22,1966.58,46.07,14.702472,87.730108,15.846967,78.528528
ORD0025,"(17.731821, 80.929601)","(14.154959, 86.969719)",11.06,Cloudy,Medium,5.0,Medium,Evening,Bike,3.1,4.6,105.6,1888.02,21.64,17.731821,80.929601,14.154959,86.969719
ORD0027,"(21.852091, 81.820285)","(12.73781, 86.919703)",2.76,Cloudy,Medium,2.0,Medium,Afternoon,Bicycle,3.799502487562189,3.4,22.99,1683.47,36.8,21.852091,81.820285,12.73781,86.919703
ORD0028,"(20.974232, 80.728561)","(13.820324, 85.504206)",8.29,Rainy,Medium,5.0,Medium,Evening,Car,4.7,2.8,102.31,1026.3902162195125,75.07,20.974232,80.728561,13.820324,85.504206
ORD0029,"(15.605301, 84.813409)","(20.08949, 77.152126)",7.17,Snowy,Low,3.0,Medium,Afternoon,Bike,4.6,2.6,40.22,261.98,48.61,15.605301,84.813409,20.08949,77.152126
ORD0030,"(20.091229, 80.580827)","(14.156297, 84.191408)",4.87,Cloudy,Low,10.0,Medium,Evening,Bike,2.8,4.4,34.47,1026.3902162195125,22.82,20.091229,80.580827,14.156297,84.191408
